업소명,소재지,대분류,메뉴,별점,별점 수
범프리카인생치킨 우송대점,"대전광역시 동구 대동로 9, 1층 ",치킨,"후라이드치킨, 양념치킨,간장치킨, 커리치킨, ",4.25,35
엉클 부대찌개 자양점,"대전광역시 동구 동대전로 174-3, 1층 ",한식,"햄부대찌개, 우삼겹부대찌개, 소곱창부대찌개, 등심부대찌개, 전골",4.37,310
감동국수,"대전광역시 동구 동대전로 163-3, 1층 ",국수,"국수, 얼큰국수, 비빔국수, 칼국수, 우동, 냉면, 콩국수",4.76,140
만년닭강정,"대전광역시 동구 동대전로131번길 4, 1층 ",닭강정,"닭강정, 매운닭강정, 간장닭강정",4.44,211
동궁찜닭,"대전광역시 동구 동대전로 168, 1층 ",찜닭,"안동찜닭, 로제찜닭, 고추장찜닭, 불찜닭, 황금찜닭",4.58,172
크앙분식,"대전광역시 동구 동대전로 149, 지하1층, 주안빌딩 ",분식,"떡볶이, 쫄면, 마요덮밥, 삼겹덮밥, 쫄면, 우동, 냉면, 튀김, 순대, 가라아게",4.32,146
청년다방 대전우송대점,"대전광역시 동구 동대전로 186, 1층 ",분식,"떡볶이, 버터치킨, 매운치킨, 마라치킨, 핫도그, 간장치킨",4.51,294
깻잎두마리치킨&푸드,"대전광역시 동구 백룡로 27, 1층 ",치킨,"후라이드치킨, 양념치킨, 간장치킨, 마늘치킨, 파닭치킨, 치즈볼, 떡볶이, 김말이, 감자튀김",4.38,121
하오츠 마라탕 자양점,"대전광역시 동구 동대전로 171-13, 101호 ",중식,"마라탕, 마라샹궈, 쌀국수, 꿔바로우, 마파두부, 볶음밥, 꽃빵튀김, 멘보샤",4.73,162
투런 처이허나스,대전광역시 동구 동대전로131번길 22 ,양식,"소꼬치, 닭꼬치, 소고기스테이크, 케밥, 자코프, 수프",4.6,7
고향백반,대전광역시 동구 백룡로5번길 81 ,한식,"백반, 김치찌개, 된장찌개, 청국장,",5,1
차이강중화요리,대전광역시 동구 백룡로5번길 105 ,중식,"탕수육, 볶음밥, 해물짬뽕, 양장피, 짜장면, 해물우동, ",4.62,169
명인만두 대전우송대점,대전광역시 동구 동대전로 172 ,만두,"고기만두, 김치만두, 떡볶이, 라면, 쫄면 , 만두국, 잔치국수, 비빔국수, 제육덮밥, 오징어덮밥, 돈까스, 치즈돈까스, 순두부지개, 치즈김밥, 참치김밥",5,1
59쌀피자,"대전광역시 동구 동대전로 158, 2층 ",피자,"콤비네이션피자, 페페로니피자, 치즈피자, 불고기피자, 포테이토피자, 고구마피자",5,1
푸라닭(대전우송대점),대전광역시 동구 백룡로 24 ,치킨,"후라이드치킨, 고추마요치킨, 양념치킨, 블랙알리오",4.59,239
육형제,"대전광역시 동구 동대전로 153-7, 2층 ",양식,"포크파스타, 삼겹마라크림리조또, 닭곱새파스타, 바베큐리조또, 알리오올리오, 필라프",4.8,478
급이다른1.2kg치킨,"대전광역시 동구 충정로 143, 1층 ",치킨,"후라이드치킨, 양념치킨, 치즈치킨, 간장치킨, 반반치킨",5,2
또또 누룽지 삼계탕,"대전광역시 동구 동대전로 223, 1층 ",한식,"누룽지삼계탕, 닭발편육. ",3.8,4
벌떡이야,대전광역시 동구 백룡로6번길 56 ,간식,"단팥붕어빵, 슈크림붕어빵, 피자붕어빵",5,3
달토끼의 떡볶이 흡입구역,"대전광역시 동구 동대전로131번길 8-38, 1,2층 ",떡볶이,"떡볶이, 투움바떡볶이, 우삽겹떡볶이, 사천짜장떡볶이, 크림떡볶이",4.5,172
무모한초밥 대전우송대점,"대전광역시 동구 동대전로183번길 4, 101,103호 ",일식,"새우초밥, 육고기초밥, 장어초밥, 연어초밥, 장어초밥",4.52,248
우리동네닭강정 자양점,"대전광역시 동구 백룡로 28, 101호 ",치킨,"닭강정, 감자튀김, 후라이드치킨",5,3
순살만공격 자양점,"대전광역시 동구 동중앙로 110, 101호 ",치킨,"후라이드치킨, 양념치킨, 어니언치킨, 매운치킨",5,1
일미리금계찜닭,"대전광역시 동구 백룡로14번길 60, 1층 ",찜닭,"안동찜닭, 로제찜닭, 누룽지찜닭, 치즈찜닭, 불닭찜닭",5,3
베트남식당,"대전광역시 동구 동대전로 160, 2층 ",외국음식,"쌀국수, 볶음밥, 우동, 족발, 월남쌈, 토마토국수",4.56,44
만리향,대전광역시 동구 동대전로 134 ,중식,"탕수육, 짜장, 짬뽕, 양장피, 쟁반짜장, ",4.39,179
노말보이즈클럽,대전광역시 동구 동대전로131번길 8-7 ,외국음식,"우육탕, 소고기 볶음밥,  탄탄면, 동파육덮밥, 탕수육, 볶음면, 마파두부, 차돌짬뽕, 고추잡채, 마파두부덮밥",4.3,8
15000족발 자양점,대전광역시 동구 백룡로6번길 51-3 ,족발,"족발, 보쌈, 냉채족발, 불족발, 불보쌈",5,1
네네치킨 우송대점,대전광역시 동구 동대전로 213 ,치킨,"양념치킨, 어니언치킨, 간장치킨, 로제스파게티, 후라이드치킨, 양념치킨, 마늘치킨",4.33,93
피자는 치즈빨(우송대점),"대전광역시 동구 동대전로 224-1, 1층 ",피자,"고기피자, 페페로니피자, 고구마피자, 스파게티, 떡볶이",4.48,36
두마리찜닭 두찜 대전자양점,대전광역시 동구 동대전로 198 ,치킨,"크림찜닭, 간장찜닭, 로제찜닭, 치즈찜닭, 새우튀김, 치즈볼, 만두, ",4.31,235
더(THE)맛있는김밥,"대전광역시 동구 동대전로 152, 1층 ",분식,"김밥, 치즈김밥, 우엉김밥, 유부김밥, 참치김밥, 소고기깁밥, 라볶기, 떡볶이, 어묵, 쫄면",4.71,128
아마이카츠,"대전광역시 동구 동대전로 195-1, 1층 ",일식,"안심카츠, 등심카츠, 생선카츠, 치즈카츠, 카레, 돈카츠카레, 치킨가라아게카레",5,3
1989역전꼬마김밥 자양점,"대전광역시 동구 동대전로 221, 1층 ",분식,"김밥, 참치김밥, 라면, 쫄면, 우동, 우동, 등심돈까스, 치즈돈까스, 김치볶음밥, 떡볶이, 치즈떡볶이, 로제떡볶이, 김말이, 오징어튀김, 새우튀김, 치즈스틱, 만두",5,3
로충칭마라탕(우송대점),대전광역시 동구 동대전로 174-7 ,중식,"사브샤브, 마라탕, 마라샹궈, ",4.45,260
한양,"대전광역시 동구 동대전로 178, 1층 ",한식,"스지 전골, 스지 볶음, 제육 볶음",5,1
써브웨이 우송대점,,샌드위치,"BMT 샌드위치, 에그마요 샌드위치, 스테이크&치즈 샌드위치, 풀드포크 바비큐 샌드위치, 로티세리 바비큐 샌드위치",4.45,1112
